,id,link,date,title,text,imageLink,subtitle,explanation,source,text_analysis,classification
0,boatos-01,https://www.boatos.org/saude/altas-taxas-vitamina-d-diminuem-mortalidade-covid.html,2020-07-23 19:59:29,Estudo alemão prova que altas taxas de vitamina D diminuem taxa de mortalidade por Covid-19,"“COVID-19. TAXA DE MORTALIDADE vs NÍVEIS DE VITAMINA D. Estudos realizados na Alemanha e conduzidos por Dr. Bernd Glauner e Lorenz Borsche com 780 pacientes com COVID-19, chegou a seguinte conclusão: – VITAMINA D acima de 34ng/ml: Zero mortes. – VITAMINA D acima de 60ng/ml: Sintomas de gripe. – VITAMINA D acima de 80ng/ml: Nenhum sintoma. – VITAMINA D acima de 80ng/ml: Nenhum sintoma”.",,,,,"“COVID-19. TAXA DE MORTALIDADE vs NÍVEIS DE VITAMINA D. Estudos realizados na Alemanha e conduzidos por Dr. Bernd Glauner e Lorenz Borsche com 780 pacientes com COVID-19, chegou a seguinte conclusão: – VITAMINA D acima de 34ng/ml: Zero mortes. – VITAMINA D acima de 60ng/ml: Sintomas de gripe. – VITAMINA D acima de 80ng/ml: Nenhum sintoma. – VITAMINA D acima de 80ng/ml: Nenhum sintoma”.",1
1,boatos-02,https://www.boatos.org/saude/empresa-chinesa-produz-vacina-contra-covid-19-vacinas-falsas.html,2020-07-23 17:16:43,Empresa chinesa que produz vacina contra a Covid-19 vendia vacinas falsas,"Empresas Chinesas vendiam vacinas falsas contra Polio,Tetano e difteria.Não esqueçam!",,,,,"Empresas Chinesas vendiam vacinas falsas contra Polio,Tetano e difteria.Não esqueçam!",1
2,boatos-03,https://www.boatos.org/saude/empresa-chinesa-produz-vacina-contra-covid-19-vacinas-falsas.html,2020-07-23 17:16:43,Empresa chinesa que produz vacina contra a Covid-19 vendia vacinas falsas,Super confiáveis as vacinas chinesas! Vamos todos ficar livres do Corona!,,,,,Super confiáveis as vacinas chinesas! Vamos todos ficar livres do Corona!,1
3,boatos-04,https://www.boatos.org/saude/empresa-chinesa-produz-vacina-contra-covid-19-vacinas-falsas.html,2020-07-23 17:16:43,Empresa chinesa que produz vacina contra a Covid-19 vendia vacinas falsas,"TÔ FALANDO QUE NÃO CONFIO,PRINCIPALMENTE AGORA EM DOBRADINHA COM O DORIANA... Ching Ling2............Seringa",,,,,"TÔ FALANDO QUE NÃO CONFIO,PRINCIPALMENTE AGORA EM DOBRADINHA COM O DORIANA... Ching Ling2............Seringa",1
4,boatos-05,https://www.boatos.org/saude/empresa-chinesa-produz-vacina-contra-covid-19-vacinas-falsas.html,2020-07-23 17:16:43,Empresa chinesa que produz vacina contra a Covid-19 vendia vacinas falsas,"ATENÇÃO!Rosto pensativo Joao Dória leia sobre, o que seus parceiros chineses fizeram no verão passado! Voce já tinha ciência desse genocídio ? Ai você Cara de bravopretende fazer o mesmo em São Paulo? ” Empresa chinesa vendia vacinas falsas contra pólio, tétano e difteria “",,,,,"ATENÇÃO!Rosto pensativo Joao Dória leia sobre, o que seus parceiros chineses fizeram no verão passado! Voce já tinha ciência desse genocídio ? Ai você Cara de bravopretende fazer o mesmo em São Paulo? ” Empresa chinesa vendia vacinas falsas contra pólio, tétano e difteria “",1
5,boatos-06,https://www.boatos.org/mundo/victorias-secret-cirque-soleil-decretaram-falencia-causa-pandemia-covid.html,2020-07-23 12:21:49,Victoria's Secret e Cirque du Soleil decretaram falência por causa da pandemia da Covid-19,"“O mundo dá voltas... “A Victoria’s Secret declarou falência. Assim como o Cirque du Solei. A Zara fechou 1.200 lojas. Chanel, Hermes e Rolex interromperam a produção. A Nike prepara-se para a segunda etapa de demissões. O fundador do AirBnb disse que, devido à pandemia, 12 anos de esforços foram destruídos em 6 semanas. A Starbucks anunciou encerramento permanente de 400 lojas. E a lista continua... Cinco meses de pandemia criaram muitas dívidas e dezenas de milhares de empresas faliram. Se a empresa onde você trabalha ainda se mantém, sem cortes ou demissões, trate-a bem e também aos seus clientes. Enfrentamos uma pandemia que não pode ser controlada. 2020 é sobre sobrevivência... Deixe de lado as pequenas reclamações diárias e seja agradecido com o que você tem... Seja grato”.",,,,,"“O mundo dá voltas... “A Victoria’s Secret declarou falência. Assim como o Cirque du Solei. A Zara fechou 1.200 lojas. Chanel, Hermes e Rolex interromperam a produção. A Nike prepara-se para a segunda etapa de demissões. O fundador do AirBnb disse que, devido à pandemia, 12 anos de esforços foram destruídos em 6 semanas. A Starbucks anunciou encerramento permanente de 400 lojas. E a lista continua... Cinco meses de pandemia criaram muitas dívidas e dezenas de milhares de empresas faliram. Se a empresa onde você trabalha ainda se mantém, sem cortes ou demissões, trate-a bem e também aos seus clientes. Enfrentamos uma pandemia que não pode ser controlada. 2020 é sobre sobrevivência... Deixe de lado as pequenas reclamações diárias e seja agradecido com o que você tem... Seja grato”.",1
6,boatos-07,https://www.boatos.org/saude/cascas-laranja-limao-contem-ivermectina-cloroquina-curam-covid-19.html,2020-07-22 13:21:27,Cascas de laranja e limão contêm ivermectina e cloroquina e curam a covid-19,“Pesquise A Cloroquina esta na casca do limão e laranja Bata no liquidificador para diminuir o amargo da casca use Mel”.,,,,,“Pesquise A Cloroquina esta na casca do limão e laranja Bata no liquidificador para diminuir o amargo da casca use Mel”.,1
7,boatos-08,https://www.boatos.org/saude/cascas-laranja-limao-contem-ivermectina-cloroquina-curam-covid-19.html,2020-07-22 13:21:27,Cascas de laranja e limão contêm ivermectina e cloroquina e curam a covid-19,"Cloroquina e Ivermectina naturais, na.casca da laranja e do limão Ensina como fazer e tomar, seja como. preventivo ou para curar",,,,,"Cloroquina e Ivermectina naturais, na.casca da laranja e do limão Ensina como fazer e tomar, seja como. preventivo ou para curar",1
8,boatos-09,https://www.boatos.org/saude/cascas-laranja-limao-contem-ivermectina-cloroquina-curam-covid-19.html,2020-07-22 13:21:27,Cascas de laranja e limão contêm ivermectina e cloroquina e curam a covid-19,"“Cloroquina está na casca da laranja e do limão. É uma coisa que a gente tem em casa, em abundância, e é baratinho, baratinho, tá? Como é que a gente vai fazer? A gente vai pegar uma laranja e um limão, vai cortar ele em pedaços, com casca e tudo, que o princípio ativo dos dois remédios, do ivermectina e do cloroquina, tá na laranja e no limão, na casca dos dois. Então, a gente vai cortar com tudo, pedaços e colocar dentro do liquidificador, com um copo de água e uma colher de mel ou de açúcar, à sua preferência, porque ele amarga um pouquinho. Vai bater, vai fazer um suco. Se você não tem o Covid-19, você vai tomar dois copos por dia, um de manhã e um à tarde. Se você já está com o Covid-19, você vai tomar quatro copos, dois de manhã e dois de tarde. Aqui tá o princípio ativo desses medicamentos que são usados nos hospitais que os médicos estão passando, tá? Vamos fazer o uso em casa. Passe pro máximo de pessoas que você conhece, pois isso nós não podemos ser egoístas. Se nós temos o remédio caseiro, barato, em casa, vamos fazer o uso dele. Isso, durante uma semana, você vai fazer, tá? Todos os dias. Não fica caro, é baratinho e dá pra gente fazer e evitar um mal maior. Vamos acabar com esse vírus, o mais rápido possível. Tá aqui, em nossas mãos, a cura. Que Deus abençoe vocês e tenham um ótimo final de semana. Fique com Deus”.",,,,,"“Cloroquina está na casca da laranja e do limão. É uma coisa que a gente tem em casa, em abundância, e é baratinho, baratinho, tá? Como é que a gente vai fazer? A gente vai pegar uma laranja e um limão, vai cortar ele em pedaços, com casca e tudo, que o princípio ativo dos dois remédios, do ivermectina e do cloroquina, tá na laranja e no limão, na casca dos dois. Então, a gente vai cortar com tudo, pedaços e colocar dentro do liquidificador, com um copo de água e uma colher de mel ou de açúcar, à sua preferência, porque ele amarga um pouquinho. Vai bater, vai fazer um suco. Se você não tem o Covid-19, você vai tomar dois copos por dia, um de manhã e um à tarde. Se você já está com o Covid-19, você vai tomar quatro copos, dois de manhã e dois de tarde. Aqui tá o princípio ativo desses medicamentos que são usados nos hospitais que os médicos estão passando, tá? Vamos fazer o uso em casa. Passe pro máximo de pessoas que você conhece, pois isso nós não podemos ser egoístas. Se nós temos o remédio caseiro, barato, em casa, vamos fazer o uso dele. Isso, durante uma semana, você vai fazer, tá? Todos os dias. Não fica caro, é baratinho e dá pra gente fazer e evitar um mal maior. Vamos acabar com esse vírus, o mais rápido possível. Tá aqui, em nossas mãos, a cura. Que Deus abençoe vocês e tenham um ótimo final de semana. Fique com Deus”.",1
9,boatos-10,https://www.boatos.org/politica/governadores-escondem-respiradores-em-galpoes.html,2020-07-21 14:26:27,Governadores e prefeitos escondem respiradores enviados por Bolsonaro em galpões e não mandam para hospitais,"MEU DEUS, PORQUE ESTÁ MORRENDO TANTA GENTE?!!!! Quem são os genocidas?! Não dá pra acreditar que existem pessoas que conseguem fazer tamanho absurdo e assassinatos em tempos da PANDEMIA. Enquanto as pessoas desesperadamente gritam por socorro para sobreviver os assassinos, genocidas escondem em galpões os respiradores e equipamentos que o governo federal *Bolsonaro* liberou para salvar vidas. OS ESQUERDALHAS, ASSASSINOS, ESCONDERAM PARA CULPAR O PRESIDENTE. Deus da paz da justiça da vida, derruba, queima e caíam por terra todos os inimigos do mal da face da terra em nome de Jesus Cristo Amém.",,,,,"MEU DEUS, PORQUE ESTÁ MORRENDO TANTA GENTE?!!!! Quem são os genocidas?! Não dá pra acreditar que existem pessoas que conseguem fazer tamanho absurdo e assassinatos em tempos da PANDEMIA. Enquanto as pessoas desesperadamente gritam por socorro para sobreviver os assassinos, genocidas escondem em galpões os respiradores e equipamentos que o governo federal *Bolsonaro* liberou para salvar vidas. OS ESQUERDALHAS, ASSASSINOS, ESCONDERAM PARA CULPAR O PRESIDENTE. Deus da paz da justiça da vida, derruba, queima e caíam por terra todos os inimigos do mal da face da terra em nome de Jesus Cristo Amém.",1
