id,link,timestamp,title,text,classification
Boatos-01,https://www.boatos.org/mundo/argentina-vacinou-duas-vezes-mesmo-homem-contra-a-covid-19.html,2021-01-03 14:32:49-03:00,Argentina vacinou duas vezes o mesmo homem contra a Covid-19 ,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo. Acho que ninguém queria ser vacinado, vacinaram duas vezes só pra fotos, ou Gostou de ser penetrado!",1
Boatos-02,https://www.boatos.org/saude/china-descarta-coronavac-anvisa-fora-padrao.html,2021-01-03 13:26:36-03:00,China descarta Coronavac e Anvisa diz que fábrica da Sinovac está fora do padrão ,Governo chinês descarta Coronavac e governador João Doria se desespera. Já a Anvisa diz que fábrica da Sinovac está fora do padrão e não aprova a fábrica.,1
Boatos-03,https://www.boatos.org/saude/soro-instituto-vital-brazil-100-cura-covid-19.html,2021-01-03 12:49:21-03:00,Soro do Instituto Vital Brazil tem 100% de cura da Covid-19 ,"Viva!! Até que enfim uma boa notícia, o Instituto Vital Brazil achou a cura da Covid, em seu estágio inicial, com tratamento a base de plasma eqüino, que produz anticorpos 100 vezes mais potentes do que o humano, eficácia de 100% na cura, parabéns, Brasil.",1
Boatos-04,https://www.boatos.org/mundo/kamala-harris-seringa-falsa-tomar-vacina-contra-covid-19.html,2021-01-03 00:46:45-03:00,Kamala Harris usou seringa falsa para tomar vacina da Covid-19 ,Kamala Harris fingindo tomar vacina E você vai tomar ?!,1
Boatos-05,https://www.boatos.org/mundo/kamala-harris-seringa-falsa-tomar-vacina-contra-covid-19.html,2021-01-03 00:46:45-03:00,Kamala Harris usou seringa falsa para tomar vacina da Covid-19 ,"FINGIMENTO PURO. QUEM QUISER QUE TOME Tudo uma grande farsa! Kamala Harris, vice-presidente eleita dos Estados Unidos, fingindo estar tomando a vacina. A agulha dobra!",1
Boatos-06,https://www.boatos.org/mundo/kamala-harris-seringa-falsa-tomar-vacina-contra-covid-19.html,2021-01-03 00:46:45-03:00,Kamala Harris usou seringa falsa para tomar vacina da Covid-19 ,"Por que o povo que quer tanto que você tome a vacina, não toma? O que está por trás disso tudo? No vídeo a vice presidente fraudada dos EUA, Kamala Harris.",1
Boatos-07,https://www.boatos.org/mundo/kamala-harris-seringa-falsa-tomar-vacina-contra-covid-19.html,2021-01-03 00:46:45-03:00,Kamala Harris usou seringa falsa para tomar vacina da Covid-19 ,"“Essa vacina que a Kamala Harris tomou, eu também tomaria numa boa.” Agulha DOBRÁVEL???",1
Boatos-08,https://www.boatos.org/saude/vacinas-aplicadas-com-seringas-sem-agulha.html,2021-01-02 15:18:40-03:00,Vacinas estão sendo aplicadas com seringas sem agulha ,"ATENÇÃO BRASIL, VEJAM ISSO, EU ESTOU VENDO UMA SIMULAÇÃO! ME PARECE QUE NEM TEM AGULHA, MUITO MENOS LÍQUIDO EU CONSIGO VER O REAL DA COISA. QUÊ COISA MAIS LOUCO É ISSO!!.",1
Boatos-09,https://www.boatos.org/saude/vacinas-aplicadas-com-seringas-sem-agulha.html,2021-01-02 15:18:40-03:00,Vacinas estão sendo aplicadas com seringas sem agulha ,Cadê a gulha? Me engana que eu gosto  Se nem eles tem coragem de tomar a vacina chinesa imagina eu,1
Boatos-10,https://www.boatos.org/saude/vacinas-aplicadas-com-seringas-sem-agulha.html,2021-01-02 15:18:40-03:00,Vacinas estão sendo aplicadas com seringas sem agulha ,Mais uma V4C1N4 aplicada com sucesso! Sem agulha e sem movimento do embolo da seringa.,1
